date,observed,counterfactual,avoided_cases,counterfactual_lower,counterfactual_upper
2021-01-16,1561781.0,2.8443194642381394e+19,2.8443194642379833e+19,42675383648054.555,6.994812859437206e+25
2021-01-23,1222853.0,6.715464756139145e+19,6.715464756139023e+19,73765045355230.28,2.3254119644659243e+26
2021-01-30,1056650.0,1.5855274858524547e+20,1.5855274858524443e+20,127504145338042.81,7.730789419423002e+26
2021-02-06,851488.0,3.743445166762957e+20,3.743445166762949e+20,220393358100389.0,2.570087581496185e+27
2021-02-13,659843.0,8.838308917127782e+20,8.838308917127776e+20,380954583215609.1,8.544214481257435e+27
2021-02-20,473842.0,2.086732970156725e+21,2.0867329701567246e+21,658488814962429.8,2.8405111588271065e+28
2021-02-27,482933.0,4.92679598503348e+21,4.92679598503348e+21,1138214455790183.0,9.4432393524753e+28
2021-03-06,423908.0,1.1632211224572239e+22,1.1632211224572239e+22,1967434499575735.0,3.1393926409418623e+29
2021-03-13,380130.0,2.7463759080769993e+22,2.7463759080769993e+22,3400767607578694.0,1.043687338759218e+30
2021-03-20,386441.0,6.484219107483694e+22,6.484219107483694e+22,5878332006401129.0,3.469727236808735e+30
2021-03-27,431725.0,1.530930172748873e+23,1.530930172748873e+23,1.0160889924734952e+16,1.1535074325789985e+31
2021-04-03,459857.0,3.6145404018317066e+23,3.6145404018317066e+23,1.7563451163668474e+16,3.8348254536169287e+31
2021-04-10,479845.0,8.53396356609461e+23,8.53396356609461e+23,3.035906836531064e+16,1.2748848141347047e+32
2021-04-17,478568.0,2.0148767492133463e+24,2.0148767492133463e+24,5.247681771989202e+16,4.2383462931555e+32
2021-04-24,413947.0,4.757142777887897e+24,4.757142777887897e+24,9.070829542082718e+16,1.4090359408717428e+33
2021-05-01,349163.0,1.1231658421809872e+25,1.1231658421809872e+25,1.567931124951302e+17,4.6843339439361247e+33
2021-05-08,293592.0,2.651805018142034e+25,2.651805018142034e+25,2.710237897849442e+17,1.5573053289709971e+34
2021-05-15,236722.0,6.260936355212026e+25,6.260936355212026e+25,4.684770276048626e+17,5.177258337250812e+34
2021-05-22,180812.0,1.4782129069006969e+26,1.4782129069006969e+26,8.097848266116998e+17,1.7211790366883478e+35
2021-05-29,145539.0,3.4900744459872323e+26,3.4900744459872323e+26,1.3997530300732232e+18,5.722059974143756e+35
2021-06-05,101879.0,8.240098284672434e+26,8.240098284672434e+26,2.4195446457788923e+18,1.9022995676232832e+36
2021-06-12,98924.0,1.9454948824696215e+27,1.9454948824696215e+27,4.182310796329915e+18,6.324199473151549e+36
2021-06-19,80728.0,4.593331544061732e+27,4.593331544061732e+27,7.229352500504481e+18,2.1024823434789023e+37
2021-06-26,86666.0,1.0844898572485444e+28,1.0844898572485444e+28,1.2496342836398006e+19,6.98971233605914e+37
2021-07-03,91045.0,2.560490657364928e+28,2.560490657364928e+28,2.1600653495819223e+19,2.3237339116323957e+38
2021-07-10,134043.0,6.0453422986238125e+28,6.0453422986238125e+28,3.733801915039722e+19,7.725269481305835e+38
2021-07-17,223088.0,1.4273109492670697e+29,1.4273109492670697e+29,6.454105788876284e+19,2.568272070252361e+39
2021-07-24,363979.0,3.369894449750884e+29,3.369894449750884e+29,1.1156328751166593e+20,8.538244152583303e+39
2021-07-31,554161.0,7.956352193818217e+29,7.956352193818217e+29,1.928443601600397e+20,2.838548112951967e+40
